pathogenid,direct,direct_sexual,direct_vertical,indirect,fecal_oral,ingestion,inhalation,environment,vector,name
3434855,1,0,0,1,1,1,1,1,0,gallid alphaherpesvirus 1
4070142,1,0,0,0,1,1,1,0,0,gaviid herpesvirus 1
3670210,1,0,0,0,1,1,1,0,0,passerid herpesvirus 1
27649907,1,0,0,0,1,1,1,0,0,phoenicopterid herpesvirus 1
3477921,1,0,0,0,1,1,1,0,0,psittacid alphaherpesvirus 1
3575765,1,0,0,0,0,0,0,0,0,callitrichine gammaherpesvirus 3
27721065,1,0,0,0,0,0,0,0,0,cercopithecus kandti lymphocryptovirus
3434835,1,1,1,1,0,0,0,0,0,human gammaherpesvirus 4
3682352,1,0,0,0,0,0,0,0,0,lymphocryptovirus 1
24657645,1,0,0,0,0,0,0,0,0,lymphocryptovirus 2
26205634,1,0,0,0,0,0,0,0,0,macaca fascicularis lymphocryptovirus
3469509,1,0,0,0,0,0,0,0,0,macacine gammaherpesvirus 4
26205494,1,0,0,0,0,0,0,0,0,pan troglodytes lymphocryptovirus
3633200,1,0,0,0,0,0,0,0,0,panine gammaherpesvirus 1
3575767,1,0,0,0,0,0,0,0,0,papiine gammaherpesvirus 1
26205514,1,0,0,0,0,0,0,0,0,papio hamadryas lymphocryptovirus
3633201,1,0,0,0,0,0,0,0,0,pongine gammaherpesvirus 2
3765580,1,0,0,0,0,0,0,0,0,saimiri sciureus lymphocryptovirus 3
3452140,1,1,0,1,0,0,0,0,0,alcelaphine gammaherpesvirus 1
3613989,1,1,0,1,0,0,0,1,0,alcelaphine gammaherpesvirus 2
23538926,1,1,0,1,0,0,0,0,0,bovine gammaherpesvirus 6
3611160,1,1,0,1,0,0,0,0,0,caprine gammaherpesvirus 2
3788215,1,1,0,1,0,0,0,0,0,hippotragine gammaherpesvirus 1
3434872,1,1,0,1,0,0,0,0,0,ovine gammaherpesvirus 2
3572342,1,0,0,1,0,0,1,1,0,anatid alphaherpesvirus 1
3553242,1,0,0,1,0,0,1,1,0,columbid alphaherpesvirus 1
3434862,1,0,0,1,0,0,1,1,0,gallid alphaherpesvirus 2
3452136,1,0,0,1,0,0,1,1,0,gallid alphaherpesvirus 3
3455151,1,0,0,1,0,0,1,1,0,meleagrid herpesvirus 1
27216514,1,0,0,1,0,0,1,1,0,phasianid herpesvirus 1
3434816,1,0,0,1,0,0,0,0,0,murid betaherpesvirus 1
3442108,1,0,0,1,0,0,0,0,0,murid betaherpesvirus 2
26302778,1,0,0,0,0,0,0,0,0,murid betaherpesvirus 8
26302918,1,0,0,0,0,0,0,0,0,murine herpesvirus
3437792,1,1,0,1,0,0,0,0,0,equid gammaherpesvirus 2
3434825,1,1,0,0,0,0,0,0,0,equid gammaherpesvirus 5
27078623,1,1,0,0,0,0,0,0,0,felid gammaherpesvirus 1
3767864,1,1,0,0,0,0,0,0,0,mustelid gammaherpesvirus 1
4110345,1,0,1,1,0,0,0,0,0,elephant endotheliotropic herpesvirus 2
3977712,1,0,1,1,0,0,0,0,0,elephant endotheliotropic herpesvirus 3
3977713,1,0,1,1,0,0,0,0,0,elephant endotheliotropic herpesvirus 4
4117048,1,0,1,1,0,0,0,0,0,elephant endotheliotropic herpesvirus 5
4117049,1,0,1,1,0,0,0,0,0,elephant endotheliotropic herpesvirus 6
26323626,1,0,1,1,0,0,0,0,0,elephant endotheliotropic herpesvirus 7
3621114,1,0,1,1,0,0,0,0,0,elephantid betaherpesvirus 1
3788217,1,1,0,0,0,0,0,0,0,aoudad malignant catarrhal fever virus
3765575,1,1,0,0,0,0,0,0,0,apodemus agrarius rhadinovirus 1
3846807,1,1,0,0,0,0,0,0,0,apodemus flavicollis rhadinovirus 1
3434843,1,1,0,0,0,0,0,0,0,ateline gammaherpesvirus 2
3846808,1,1,0,0,0,0,0,0,0,bandicota savilei rhadinovirus 1
